Service_Name|Version|Service_Category|Atm_Service_Category|Messaging_Mode|LifeCicleStage|InterfaceType|ServiceProviderName
STDDSInfrastructureSystemMonitorandControl(ISMC)|1.0|Flight|Airport|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSInfrastructureSystemMonitorandControl(ISMC)|1.0|Navigation|Airport|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSInfrastructureSystemMonitorandControl(ISMC)|1.0|Navigation|Airport|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSInfrastructureSystemMonitorandControl(ISMC)|1.0|Navigation|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSInfrastructureSystemMonitorandControl(ISMC)|1.0|Navigation|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSSurfaceMovementEvent(SMES)|1.0|Surveillance|Airport|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSSurfaceMovementEvent(SMES)|1.0|Surveillance|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSSurfaceMovementEvent(SMES)|1.0|Surveillance|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSTerminalAutomationInformation(TAIS)|1.0|Surveillance|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSTowerDepartureEvent(TDES)|1.0|Flight|Airport|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSTowerDepartureEvent(TDES)|1.0|Navigation|Airport|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSTowerDepartureEvent(TDES)|1.0|Navigation|Airport|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSTowerDepartureEvent(TDES)|1.0|Navigation|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSTowerDepartureEvent(TDES)|1.0|Navigation|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
SubmitAltimeterSetting(WMSCR)|1.0|Aeronautical|FlightPlanning|Point-to-Point|Verification|Method-Oriented|WeatherMessageSwitchingCenterReplacement(WMSCR)
SubmitAltimeterSetting(WMSCR)|1.0|Navigation|FlightPlanning|Point-to-Point|Verification|Method-Oriented|WeatherMessageSwitchingCenterReplacement(WMSCR)
SubmitAltimeterSetting(WMSCR)|1.0|Navigation|FlightPlanning|Point-to-Point|Verification|Method-Oriented|WeatherMessageSwitchingCenterReplacement(WMSCR)
SubmitAltimeterSetting(WMSCR)|1.0|Navigation|ArrivalandDeparture|Point-to-Point|Verification|Method-Oriented|WeatherMessageSwitchingCenterReplacement(WMSCR)
